wl,n,k
0.10847,0.281313585,1.16333152
0.10872,0.282805613,1.16906156
0.108971,0.284324876,1.17482179
0.109222,0.285877822,1.18059312
0.109474,0.287461186,1.18639723
0.109726,0.289089485,1.19218312
0.109979,0.290747135,1.19802471
0.110233,0.292441303,1.20390279
0.110487,0.294183044,1.20978299
0.110741,0.29598167,1.21563904
0.110997,0.297818171,1.22156179
0.111253,0.299708671,1.22749845
0.111509,0.301658571,1.23344108
0.111766,0.30366588,1.23941265
0.112024,0.305734823,1.24541116
0.112282,0.307869615,1.25143508
0.112541,0.310087225,1.25743137
0.1128,0.31237257,1.2634772
0.11306,0.314744519,1.26951167
0.113321,0.31720811,1.27552958
0.113582,0.319757526,1.2815683
0.113844,0.322401295,1.28760594
0.114106,0.325163038,1.29355884
0.114369,0.328010272,1.29956439
0.114633,0.330968512,1.3055257
0.114897,0.33403381,1.31145932
0.115162,0.337218559,1.31731312
0.115428,0.34051829,1.32309626
0.115694,0.34392677,1.32881865
0.11596,0.347455399,1.33441573
0.116228,0.351074166,1.3399755
0.116496,0.354806682,1.34537295
0.116764,0.358632717,1.3506437
0.117033,0.362535502,1.35580172
0.117303,0.366515885,1.36078744
0.117574,0.370551448,1.36562146
0.117845,0.374633113,1.37026827
0.118116,0.37873714,1.37474085
0.118389,0.382850583,1.37900832
0.118662,0.386950032,1.38307503
0.118935,0.39100035,1.38698551
0.119209,0.394997541,1.39067412
0.119484,0.398911509,1.39417148
0.119759,0.402718568,1.39749068
0.120036,0.406390142,1.40066942
0.120312,0.409921534,1.40367324
0.12059,0.413284015,1.40656305
0.120868,0.416467488,1.40934963
0.121146,0.419466863,1.41204199
0.121425,0.422264827,1.41470535
0.121705,0.424877035,1.41730843
0.121986,0.427293111,1.41991989
0.122267,0.429529266,1.42252989
0.122549,0.431582236,1.42520064
0.122832,0.43347195,1.4279219
0.123115,0.435214368,1.43069836
0.123398,0.436815061,1.43356818
0.123683,0.438296684,1.43651104
0.123968,0.439666875,1.43955278
0.124254,0.440935361,1.44270905
0.12454,0.442120183,1.44596539
0.124827,0.44322758,1.44934378
0.125115,0.444281729,1.45280609
0.125404,0.445279398,1.45640296
0.125693,0.446235705,1.46012445
0.125982,0.447172348,1.4639384
0.126273,0.448085192,1.4678961
0.126564,0.449001585,1.47194398
0.126856,0.449919794,1.47612109
0.127148,0.450859827,1.4803918
0.127441,0.451824514,1.48477261
0.127735,0.452827787,1.4892389
0.128029,0.453877916,1.49377956
0.128325,0.454971707,1.49841612
0.12862,0.456122104,1.50311205
0.128917,0.457329148,1.50786868
0.129214,0.458600979,1.51265651
0.129512,0.459925818,1.51750819
0.129811,0.461314987,1.52237725
0.13011,0.462752447,1.52730524
0.13041,0.464259062,1.53221026
0.13071,0.465810111,1.5371598
0.131012,0.46741339,1.54211347
0.131314,0.469068594,1.54705756
0.131616,0.470759621,1.55203072
0.13192,0.472500515,1.55697283
0.132224,0.474271142,1.56193725
0.132529,0.476084001,1.56687081
0.132834,0.477921039,1.57182209
0.13314,0.479788397,1.5767612
0.133447,0.481685389,1.58168188
0.133755,0.483600088,1.58661599
0.134063,0.48553599,1.59154575
0.134372,0.487497911,1.5964501
0.134682,0.489481808,1.60133793
0.134993,0.491475133,1.60624656
0.135304,0.493490687,1.61113097
0.135616,0.495521787,1.61601018
0.135928,0.497568897,1.62088001
0.136242,0.499632027,1.62573768
0.136556,0.501708548,1.63058869
0.136871,0.503795111,1.63544031
0.137186,0.505899494,1.64026292
0.137502,0.508015333,1.64507181
0.137819,0.510140421,1.64986757
0.138137,0.512272295,1.65465022
0.138455,0.514409615,1.65941464
0.138775,0.516554687,1.66414242
0.139094,0.518697387,1.66885367
0.139415,0.52083423,1.67354561
0.139737,0.522963111,1.67820973
0.140059,0.525076286,1.68285468
0.140382,0.527176122,1.6874561
0.140705,0.529245291,1.69205264
0.141029,0.531284389,1.69662602
0.141355,0.533290044,1.70117192
0.14168,0.535249117,1.70571899
0.142007,0.537161238,1.71025777
0.142334,0.539027633,1.71477707
0.142663,0.540830387,1.71933056
0.142991,0.542581334,1.72388181
0.143321,0.544269921,1.72847053
0.143651,0.545904727,1.73308089
0.143983,0.547482524,1.73773988
0.144314,0.549009047,1.74245124
0.144647,0.550487833,1.74723055
0.144981,0.551923926,1.75209298
0.145315,0.553331884,1.75702711
0.14565,0.554717645,1.76205166
0.145986,0.556096629,1.76715694
0.146322,0.557479456,1.77234916
0.146659,0.558872796,1.77764661
0.146997,0.560290212,1.78304408
0.147336,0.561745088,1.78853427
0.147676,0.563257905,1.79408364
0.148016,0.564822424,1.79973927
0.148358,0.566464001,1.80544251
0.1487,0.568179332,1.81122038
0.149042,0.569979083,1.81704943
0.149386,0.571876742,1.82289109
0.14973,0.573858446,1.82878783
0.150076,0.575940466,1.83468012
0.150421,0.578117244,1.84057222
0.150768,0.580382403,1.84646557
0.151116,0.58274392,1.85231091
0.151464,0.585186134,1.8581296
0.151813,0.587701228,1.86391385
0.152163,0.590291012,1.86962173
0.152514,0.592939634,1.87526413
0.152866,0.595634101,1.88084013
0.153218,0.598368309,1.88632485
